Rank,Wallet,Trades,Tokens,Volume,Rapid_Reversals
1,HYSq1KBAvqWpEv1pCbV31muKM1za5A1WSHGdiVLUoNhb,206,2,87391.05,2
2,3JD7zrZVXfGozgaSrnn3GzAcGsHCM5ATazX8EqwJqZWY,245,99,86809.55,162
3,AD3XDgirYWTDrtztXDyjwzRvwyA5aG5bivaFXnjujXPf,256,59,86195.90,380
4,FYQU4Q4BEgNwNATMEphBtZtfkR3RamXXy6JvHnVHhjuo,97,16,84468.24,9
5,BAk7jy4pPS9u4tBsbGWVJstrbami8UuxQtRktVFnfx9k,278,55,83917.40,224
6,7naFFwuEJWeWwWYQUkgAWHsxYKg3KctEuUj42JdAMidP,279,60,76277.30,54
7,JAQZkUqCfWjXu2jKVDbBp4LD2SbYcRHMN1RN9N8uWiBn,417,120,74515.20,471
8,EFaQQTGywnD4CjQQvTugUiyVT4LV9G6MsWqiub8X6unN,256,191,71220.56,0
9,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN,407,132,65290.37,452
10,J2L495ZPcJ6Btuyd4YqXz5uw7hpKiQXGcLvALwumabED,373,131,63173.03,401
11,5t5Y3upBdyxeszzxKRtNw6h9fGnpFF1WJQwNHfPEQobQ,355,95,58312.22,307
12,6nU2L7MQVUWjtdKHVpuZA9aind73nd3rXC4YFo8KQCy4,219,45,55502.19,1
13,DqD9b5LZK8RRXkfXQNF97e6HTcfZ8XsYNdAN2kNdGNty,169,14,54786.38,61
14,3UNPM7X6LbmxUms5ij6zm9P7J1Ev2Wd7TwwXmYrPX3n3,334,76,54609.62,447
15,3J7ZjmdcrwHMuW8osom4K19ybm1NL1mAP89DpC5MyEWC,145,44,53783.74,187
16,kkMrXRWnhkR9vgzmjPSLZTV7N7LsMeyXifPiW1HFWMn,331,79,53062.79,432
17,5zCkbcD74hFPeBHwYdwJLJAoLVgHX45AFeR7RzC8vFiD,261,76,53046.43,3
18,ACTbvbNm5qTLuofNRPxFPMtHAAtdH1CtzhCZatYHy831,191,56,52672.32,105
19,9nHkJPoPwKdwDWNt3HdC753R1WjyBcuXLg5HQsxZtMiv,162,14,51964.81,61
20,CJKksKnktWH3AcNupDPzdry2KpoCVBT5nyPNpe975qUK,220,50,51430.55,286
21,6wowwKG1ztzTRBzrVmxuWnZVUh8AwcPD2DFEXPgR1VsM,220,50,51042.80,286
22,GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5,166,41,47794.81,69
23,Dgehc8YMv6dHsiPJVoumvq4pSBkMVvrTgTUg7wdcYJPJ,128,43,47297.20,90
24,BRx8TP6HsD9srJ62rcYizjAHyZ5mt3cp8wPBEZioTsym,209,60,46829.63,148
25,B3wagQZiZU2hKa5pUCj6rrdhWsX3Q6WfTTnki9PjwzMh,58,17,46783.22,15
26,CA4keXLtGJWBcsWivjtMFBghQ8pFsGRWFxLrRCtirzu5,61,17,46627.61,8
27,TimeAdRpWxqKXR5YPEwGBF48KC5V5TxB2g6mnyCp4VR,76,14,45507.50,25
28,JCLqyRAzLy2otp1mUkgaHpJkNRrQ5Xf1hQakn7m1oRQJ,183,34,45412.49,174
29,EAoe557r1L8ZAMHNjrccnjekyo95iov6y62mxwv8BN2N,96,44,45382.44,5
30,5RA3mHaNZmteC7TLkykPe6NwMdYzz9XqRqZdXsS2nQqa,360,85,44892.71,341
