Rank,Wallet,Total_Trades,Clean_Trades,Tokens,Total_Volume,Adjusted_Volume,Rapid_Reversals,Pct_Volume_Kept
1,BA36AnwpTfKeqNhExVUFFbzUAQTyKYvJrEokKJqVCTPi,967,330,84,230286.06,97397.71,1770,42%
2,HYSq1KBAvqWpEv1pCbV31muKM1za5A1WSHGdiVLUoNhb,206,204,2,87391.05,86780.21,2,99%
3,FYQU4Q4BEgNwNATMEphBtZtfkR3RamXXy6JvHnVHhjuo,97,88,16,84468.24,80962.74,9,96%
4,7naFFwuEJWeWwWYQUkgAWHsxYKg3KctEuUj42JdAMidP,279,233,60,76277.30,73953.61,54,97%
5,EFaQQTGywnD4CjQQvTugUiyVT4LV9G6MsWqiub8X6unN,256,256,191,71220.56,71220.56,0,100%
6,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,1422,517,196,246694.30,67572.43,3279,27%
7,6nU2L7MQVUWjtdKHVpuZA9aind73nd3rXC4YFo8KQCy4,219,218,45,55502.19,55117.29,1,99%
8,5zCkbcD74hFPeBHwYdwJLJAoLVgHX45AFeR7RzC8vFiD,261,259,76,53046.43,52605.21,3,99%
9,DqD9b5LZK8RRXkfXQNF97e6HTcfZ8XsYNdAN2kNdGNty,169,149,14,54786.38,49217.43,61,90%
10,9nHkJPoPwKdwDWNt3HdC753R1WjyBcuXLg5HQsxZtMiv,162,142,14,51964.81,46168.16,61,89%
11,5FqUo9aBjsp7QeeyN6Vi2ZmF2fjS4H5EU7wnAQwPy17z,134,134,81,44002.02,44002.02,0,100%
12,CA4keXLtGJWBcsWivjtMFBghQ8pFsGRWFxLrRCtirzu5,61,54,17,46627.61,43601.81,8,94%
13,EAoe557r1L8ZAMHNjrccnjekyo95iov6y62mxwv8BN2N,96,91,44,45382.44,42556.92,5,94%
14,AD3XDgirYWTDrtztXDyjwzRvwyA5aG5bivaFXnjujXPf,256,101,59,86195.90,42038.35,380,49%
15,DdZG8dw12CsHjj2Ytfo1vKNPPoU4DEYSMSxdhPjo5U6N,117,114,114,42118.64,41372.49,3,98%
16,5TcyQLh8ojBf81DKeRC4vocTbNKJpJCsR9Kei16kLqDM,162,155,64,44060.07,40005.20,11,91%
17,B3wagQZiZU2hKa5pUCj6rrdhWsX3Q6WfTTnki9PjwzMh,58,44,17,46783.22,40003.90,15,86%
18,TimeAdRpWxqKXR5YPEwGBF48KC5V5TxB2g6mnyCp4VR,76,62,14,45507.50,39843.23,25,88%
19,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,1037,587,162,92004.33,37758.83,1176,41%
20,BAk7jy4pPS9u4tBsbGWVJstrbami8UuxQtRktVFnfx9k,278,117,55,83917.40,37603.72,224,45%
21,BBPKQwYLyiPjAX2KTFxanR7vxwa7majAF7c7yoaRX8oR,445,154,109,93554.89,37328.21,520,40%
22,3JD7zrZVXfGozgaSrnn3GzAcGsHCM5ATazX8EqwJqZWY,245,93,99,86809.55,34971.18,162,40%
23,G7NvZKjoVqBDWciSYtWWgUPB7DA1iJavdvH5jty2FAmM,173,117,103,42188.56,34959.75,61,83%
24,ACTbvbNm5qTLuofNRPxFPMtHAAtdH1CtzhCZatYHy831,191,125,56,52672.32,34883.31,105,66%
25,2hMTR55HQAKpFAhmmQYChAXwoX5Lxynih1N6ZigZ6Bms,116,115,7,33658.74,33646.03,1,100%
26,HUgpmqL6r4Z4iEZiVuNZ6J6QnAsSZpsL8giVyVtz3QhT,127,123,67,32450.80,31988.49,4,99%
27,BTZJRdccNMrF1tdwjSk9K369udDJpk8mxrZNP2U7vAxY,80,69,11,35636.28,31160.23,13,87%
28,5t5Y3upBdyxeszzxKRtNw6h9fGnpFF1WJQwNHfPEQobQ,355,163,95,58312.22,30305.72,307,52%
29,GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5,166,120,41,47794.81,29901.05,69,63%
30,5B79fMkcFeRTiwm7ehsZsFiKsC7m7n1Bgv9yLxPp9q2X,228,171,31,42571.77,29813.06,233,70%
31,BUeeLU7F9jD27ZkQMtbqd1JwTMu4tFdG7qGxqeeYhYN5,130,106,65,32826.57,29430.51,27,90%
32,9h8Myodcd6PeeCxVo4ReV7799GL7EvHLUzXjJcxgrYWz,74,71,1,30426.73,28971.95,3,95%
33,47jfhw5puHdFjkmWoGahkuLgVSqYBzmdGPzDaMu47d6k,32,32,1,28900.23,28900.23,0,100%
34,ExggwHcHhg67jgR6oyUiZxq7RhsYDhSkAeSkN2W9VBHH,54,54,4,28695.10,28695.10,0,100%
35,FxN3VZ4BosL5urG2yoeQ156JSdmavm9K5fdLxjkPmaMR,984,537,159,71683.96,28684.84,1169,40%
36,C7yUFMdiV2tucSc9FXurvuvBCFek195oA8hgfn9AS3CF,173,116,47,43976.19,28626.07,63,65%
37,FG8J8Un82uBHwGFf7D4EnBcfMGjbjdCz8yxp3MUy66f7,85,72,18,31084.47,28494.12,24,92%
38,7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,969,529,157,70658.47,27971.19,1170,40%
39,DEVA1RTJX6mAXLy9HikaDG3SPRu8mrjXnkedoivGQMvZ,187,61,27,44437.27,27519.02,133,62%
40,Dgehc8YMv6dHsiPJVoumvq4pSBkMVvrTgTUg7wdcYJPJ,128,55,43,47297.20,27168.20,90,57%
41,Aqje5DsN4u2PHmQxGF9PKfpsDGwQRCBhWeLKHCFhSMXk,105,103,67,26801.31,26652.24,2,99%
42,NtYVyP6Sj5TKA38bZUTQTnxAt4yaa5KTQJqKex3iUj3,113,110,2,29183.20,26137.22,8,90%
43,4NtyFqqRzvHWsTmJZoT26H9xtL7asWGTxpcpCxiKax9a,45,40,4,28425.53,25612.37,7,90%
44,D3JY3AvpXDVcMjAdFUSXsCKx8rbnVo1Vi42MoKPCuBHC,217,164,82,37033.05,25138.27,95,68%
45,7vtfeHxrZA9uyGtVWZzm4VAkoBP9K5o9BCyCB7aABzkF,95,71,42,31638.93,24034.30,41,76%
46,GpTXmkdvrTajqkzX1fBmC4BUjSboF9dHgfnqPqj8WAc4,84,84,50,23640.46,23640.46,0,100%
47,AS25HYWuQ5c8wgD8VTpjt5oi5vYErm1R46XGr3a2i535,196,100,52,35244.40,23579.47,153,67%
48,HsNqrgYmw5GnWTVkzbjQPbSeAmWK7q5ZvQzhaUmxdEF5,72,65,4,25091.35,22676.88,7,90%
49,8NVkytV1CtoNBXGFtwXwh4KQdbgVcA6hFmym1gMuRHru,139,90,26,38128.15,22475.82,56,59%
50,98T65wcMEjoNLDTJszBHGZEX75QRe8QaANXokv4yw3Mp,150,95,35,40418.88,22453.77,124,56%
