rank,wallet,total_volume_usd,trade_count,unique_tokens
1,BA36AnwpTfKeqNhExVUFFbzUAQTyKYvJrEokKJqVCTPi,326481.84,1370,116
2,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,322559.26,1825,247
3,BAk7jy4pPS9u4tBsbGWVJstrbami8UuxQtRktVFnfx9k,120669.32,403,83
4,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,120661.37,1408,219
5,BBPKQwYLyiPjAX2KTFxanR7vxwa7majAF7c7yoaRX8oR,116381.85,555,130
6,HYSq1KBAvqWpEv1pCbV31muKM1za5A1WSHGdiVLUoNhb,103102.59,238,4
7,FYQU4Q4BEgNwNATMEphBtZtfkR3RamXXy6JvHnVHhjuo,102740.44,128,22
8,3JD7zrZVXfGozgaSrnn3GzAcGsHCM5ATazX8EqwJqZWY,101444.44,300,118
9,FxN3VZ4BosL5urG2yoeQ156JSdmavm9K5fdLxjkPmaMR,97739.88,1352,214
10,7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,96786.41,1339,212
11,AD3XDgirYWTDrtztXDyjwzRvwyA5aG5bivaFXnjujXPf,95131.58,305,68
12,EFaQQTGywnD4CjQQvTugUiyVT4LV9G6MsWqiub8X6unN,88072.55,310,244
13,3UNPM7X6LbmxUms5ij6zm9P7J1Ev2Wd7TwwXmYrPX3n3,87476.88,525,121
14,5zCkbcD74hFPeBHwYdwJLJAoLVgHX45AFeR7RzC8vFiD,86879.66,436,134
15,JAQZkUqCfWjXu2jKVDbBp4LD2SbYcRHMN1RN9N8uWiBn,85897.37,484,138
16,7naFFwuEJWeWwWYQUkgAWHsxYKg3KctEuUj42JdAMidP,82080.95,296,67
17,kkMrXRWnhkR9vgzmjPSLZTV7N7LsMeyXifPiW1HFWMn,81346.92,526,124
18,B3wagQZiZU2hKa5pUCj6rrdhWsX3Q6WfTTnki9PjwzMh,80166.58,126,40
19,ACTbvbNm5qTLuofNRPxFPMtHAtdH1CtzhCZatYHy831,78188.78,303,84
20,EAoe557r1L8ZAMHNjrccnjekyo95iov6y62mxwv8BN2N,76941.36,199,82
21,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN,75260.52,457,151
22,6nU2L7MQVUWjtdKHVpuZA9aind73nd3rXC4YFo8KQCy4,71675.59,281,62
23,J2L495ZPcJ6Btuyd4YqXz5uw7hpKiQXGcLvALwumabED,70734.54,416,148
24,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,67733.31,1100,181
25,5t5Y3upBdyxeszzxKRtNw6h9fGnpFF1WJQwNHfPEQobQ,67527.64,433,123
26,GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5,65233.30,221,57
27,D3JY3AvpXDVcMjAdFUSXsCKx8rbnVo1Vi42MoKPCuBHC,64179.88,414,141
28,HqBLXnqnDY1xrGnMsa3rRfw4C6qoQYiCsbQCap5LUyGQ,63854.96,417,103
29,6wowwKG1ztzTRBzrVmxuWnZVUh8AwcPD2DFEXPgR1VsM,61450.20,284,67
30,CJKksKnktWH3AcNupDPzdry2KpoCVBT5nyPNpe975qUK,61235.92,283,67
31,5RA3mHaNZmteC7TLkykPe6NwMdYzz9XqRqZdXsS2nQqa,59196.07,454,100
32,DEVA1RTJX6mAXLy9HikaDG3SPRu8mrjXnkedoivGQMvZ,58369.40,253,43
33,5FqUo9aBjsp7QeeyN6Vi2ZmF2fjS4H5EU7wnAQwPy17z,57881.33,165,106
34,98T65wcMEjoNLDTJszBHGZEX75QRe8QaANXokv4yw3Mp,57680.03,219,47
35,DqD9b5LZK8RRXkfXQNF97e6HTcfZ8XsYNdAN2kNdGNty,57390.49,179,15
36,DdZG8dw12CsHjj2Ytfo1vKNPPoU4DEYSMSxdhPjo5U6N,57128.39,161,152
37,CA4keXLtGJWBcsWivjtMFBghQ8pFsGRWFxLrRCtirzu5,55281.48,72,22
38,5awf7tRq9KtNmXidZaGy3cHzE126RMiLirCZZqZALBGs,54836.31,388,63
39,9nHkJPoPwKdwDWNt3HdC753R1WjyBcuXLg5HQsxZtMiv,54688.20,172,15
40,BRx8TP6HsD9srJ62rcYizjAHyZ5mt3cp8wPBEZioTsym,54562.28,246,75
41,jewY1ZEqT7wEyUDMFJ6mFW52soaX1i9zr4wLpqUvaMz,54387.92,420,105
42,3J7ZjmdcrwHMuW8osom4K19ybm1NL1mAP89DpC5MyEWC,53783.74,145,44
43,AQ46kfYT3hW28Xg5gWHrJkzFSz1oGWBHC3FsTbqgMEco,53202.29,326,88
44,8NVkytV1CtoNBXGFtwXwh4KQdbgVcA6hFmym1gMuRHru,52123.52,177,36
45,TimeAdRpWxqKXR5YPEwGBF48KC5V5TxB2g6mnyCp4VR,51649.86,84,16
46,HUZJ7L2qoShTb5t6VLNwLkzxD4QzJX71iviVoRffkPdW,51185.32,414,141
47,C7yUFMdiV2tucSc9FXurvuvBCFek195oA8hgfn9AS3CF,50567.09,243,56
48,5B79fMkcFeRTiwm7ehsZsFiKsC7m7n1Bgv9yLxPp9q2X,50543.00,256,37
49,Dgehc8YMv6dHsiPJVoumvq4pSBkMVvrTgTUg7wdcYJPJ,49691.99,135,45
50,9fpUmh3Tv3UCdeHLyq3o4QhkTBu5XAbEiKP9FtGaSndb,49579.70,140,45
